,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
126,Leicester Square,37843681.0,34580105.0,33424173.0,34563636.0,3950320.0,16345381.0,29391294.0,21750701.285714287,"0,0,1",-0.128235532,51.51122103
127,Leyton,14331098.0,12751863.0,11393769.0,11262368.0,7325632.0,5293420.0,8360273.0,8055332.142857143,"0.5972333928571429,0.5972333928571429,1",-0.00561988,51.55643293
128,Leytonstone,11300919.0,10431470.0,9744447.0,9822700.0,5650715.0,4259419.0,6700643.0,6658484.857142857,"0.6670757571428572,0.6670757571428572,1",0.008215047,51.56818526
129,Liverpool Street,71614231.0,64501949.0,66141465.0,67202755.0,16267905.0,26596893.0,55837583.0,42364078.571428575,"0,0,1",-0.082965709,51.51735123
130,London Bridge,70735683.0,65684647.0,70676629.0,74343494.0,24721911.0,30857082.0,56204583.0,46069763.71428572,"0,0,1",-0.086922404,51.50549935
131,Loughton,3448907.0,3412794.0,3301688.0,3473615.0,1747510.0,1606879.0,2645225.0,2312530.1428571427,"0.8843734928571428,0.8843734928571428,1",0.055311997,51.64151276
132,Maida Vale,3409091.0,3118278.0,3150058.0,3302961.0,1538572.0,1433954.0,2498776.0,2148942.714285714,"0.8925528642857143,0.8925528642857143,1",-0.185625902,51.52976002
133,Manor House,9122653.0,8214650.0,7827043.0,8554567.0,3599717.0,3593706.0,6024622.0,5402043.571428572,"0.7298978214285714,0.7298978214285714,1",-0.095712467,51.57075601
134,Mansion House,6136459.0,6140305.0,7106682.0,6789496.0,1067130.0,2088948.0,4138247.0,3904401.1428571427,"0.8047799428571428,0.8047799428571428,1",-0.094187135,51.5120212
135,Marble Arch,14108617.0,13254257.0,12451407.0,12159194.0,3657164.0,5242933.0,9603610.0,8052652.142857143,"0.5973673928571428,0.5973673928571428,1",-0.158438047,51.51354329
136,Marylebone,12948293.0,12988295.0,13075755.0,12881989.0,2630669.0,4597698.0,8722517.0,7842417.571428572,"0.6078791214285715,0.6078791214285715,1",-0.163104487,51.52222334
137,Mile End,15746922.0,14928464.0,14686759.0,14971042.0,6787729.0,6644477.0,11357596.0,9910866.714285715,"0.5044566642857142,0.5044566642857142,1",-0.03340417,51.52509187
138,Mill Hill East,1340993.0,1318680.0,1350943.0,1407857.0,813926.0,764644.0,1410192.0,1009463.1428571428,"0.9495268428571428,0.9495268428571428,1",-0.20989442,51.6082589
139,Moor Park,914852.0,897017.0,913450.0,932748.0,593315.0,463133.0,729111.0,646967.7142857143,"0.9676516142857143,0.9676516142857143,1",-0.432666849,51.62973109
140,Moorgate,27565959.0,25828308.0,24646666.0,25050824.0,5839734.0,8789962.0,20013958.0,15738493.142857144,"0.2130753428571428,0.2130753428571428,1",-0.089006315,51.51836725
141,Morden,10056185.0,9872702.0,9689216.0,9815261.0,5488034.0,4421002.0,7680069.0,6709469.142857143,"0.6645265428571429,0.6645265428571429,1",-0.194790701,51.40233694
142,Mornington Crescent,5039573.0,4779258.0,4300182.0,4001482.0,1331040.0,1425296.0,2672239.0,2644213.8571428573,"0.8677893071428571,0.8677893071428571,1",-0.13884253,51.53420661
143,Neasden,3749439.0,3646639.0,3400938.0,3450466.0,2478884.0,1564012.0,2491433.0,2433196.0,"0.8783402,0.8783402,1",-0.249782873,51.55396572
144,Newbury Park,5429546.0,5249584.0,4729847.0,5079924.0,3168498.0,2218404.0,3526527.0,3424683.4285714286,"0.8287658285714286,0.8287658285714286,1",0.090337314,51.57557249
145,North Acton,6530887.0,6459225.0,5909108.0,6241955.0,3717589.0,3148552.0,5227467.0,4386270.857142857,"0.7806864571428571,0.7806864571428571,1",-0.259737386,51.52336556
146,North Ealing,905402.0,786073.0,798689.0,880333.0,507381.0,357588.0,588313.0,559768.1428571428,"0.9720115928571429,0.9720115928571429,1",-0.28900498,51.51755516
147,North Greenwich,26452132.0,26585096.0,24549011.0,28280620.0,9641852.0,11279522.0,21202411.0,17362644.57142857,"0.13186777142857142,0.13186777142857142,1",0.003607417,51.50018182
148,North Harrow,1968198.0,1833325.0,1835839.0,1930536.0,954512.0,769257.0,1306156.0,1232803.5714285714,"0.9383598214285714,0.9383598214285714,1",-0.362223573,51.58479185
149,North Wembley,1791287.0,1684067.0,1589646.0,1572051.0,1225092.0,778946.0,1204024.0,1150546.5714285714,"0.9424726714285714,0.9424726714285714,1",-0.304155735,51.56249029
150,Northfields,3913283.0,3785696.0,3664816.0,3975886.0,1899266.0,1630938.0,2626178.0,2511825.714285714,"0.8744087142857143,0.8744087142857143,1",-0.314156833,51.49927648
151,Northolt,5157171.0,4921293.0,4784063.0,4976954.0,3383878.0,2467440.0,3961099.0,3499246.714285714,"0.8250376642857142,0.8250376642857142,1",-0.368459834,51.54815044
