Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,677,PRDu,Preston Road,Station entry / exit,Relate,"6,315",0,"3,557","2,656","5,399",0,"3,292","2,556","3,447,448"
LU,678,PUTu,Putney Bridge,Station entry / exit,Relate,"8,283",0,"6,549","3,856","8,585",0,"6,106","3,921","5,113,846"
LU,680,QPKu,Queen's Park,Station entry / exit,Relate,"9,409",0,"6,382","4,651","8,423",0,"5,362","4,298","5,361,846"
LU,679,QBYu,Queensbury,Station entry / exit,Relate,"7,534",0,"4,941","3,248","7,372",0,"4,646","3,116","4,416,312"
LU,681,QWYu,Queensway,Station entry / exit,Relate,"11,823",0,"12,040","9,727","12,303",0,"12,466","9,693","8,031,860"
LU,682,RCPu,Ravenscourt Park,Station entry / exit,Relate,"5,336",0,"3,061","2,127","5,132",0,"2,900","2,176","3,055,656"
LU,683,RAYu,Rayners Lane,Station entry / exit,Relate,"6,991",0,"4,352","2,955","6,986",0,"4,145","2,910","4,112,035"
LU,684,REDu,Redbridge,Station entry / exit,Relate,"4,737",0,"3,633","2,523","4,378",0,"3,134","2,295","2,789,938"
LU,685,RPKu,Regent's Park,Station entry / exit,Relate,"5,675",0,"3,012","2,035","6,202",0,"3,595","2,428","3,438,858"
LU,686,RMDu,Richmond,LU boarding / alighting,Scaled,"11,845",0,"13,954","7,259","12,226",0,"12,874","7,072","7,883,382"
LU,687,RKYu,Rickmansworth,Station entry / exit,Relate,"4,966",0,"2,059","1,190","4,381",0,"1,888","1,139","2,587,429"
LU,688,RODu,Roding Valley,Station entry / exit,Scaled,618,0,215,117,704,0,178,112,"352,989"
LU,690,ROYu,Royal Oak,Station entry / exit,Relate,"4,309",0,"2,687","1,941","4,048",0,"2,540","1,990","2,486,491"
LU,691,RUIu,Ruislip,Station entry / exit,Relate,"3,187",0,"2,193","1,269","3,186",0,"2,159","1,237","1,890,042"
LU,692,RUGu,Ruislip Gardens,Station entry / exit,Relate,"2,138",0,"1,138",651,"1,718",0,962,638,"1,106,458"
LU,693,RUMu,Ruislip Manor,Station entry / exit,Relate,"3,509",0,"2,072","1,051","3,231",0,"1,892","1,104","1,943,537"
